Disease,Symptoms,Remedy,Usage
Obesity,"High blood sugar, frequent urination","Triphala, Amla, Honey",Herbal tea twice daily
Obesity,"Irregular periods, cramps","Fennel Seeds, Amla, Mint",Decoction twice daily
Diarrhea,"Loose motion, dehydration","Garlic, Arjuna, Amla",Oil massage and warm compress
Diarrhea,"Burning sensation, chest pain, bloating","Giloy, Tulsi, Ginger",Tulsi tea with ginger & honey twice daily
Indigestion,"Hard stool, bloating","Brahmi, Peppermint, Eucalyptus Oil","Ajwain with warm water after meals, ginger tea"
Constipation,"Severe headache, nausea","Mulethi (Licorice), Honey, Ginger",Oil massage and warm compress
Cough,"Stress, sinus, tension","Ajwain, Ginger, Lemon",Decoction twice daily
Common Cold,"Breathlessness, chest tightness","Mulethi (Licorice), Honey, Ginger","Jamun seed powder with water, methi overnight water"
Hairfall,"Overweight, fatigue","Ashoka, Lodhra, Aloe Vera",Juice or powder in warm water
Back Pain,"Breathlessness, chest tightness","Brahmi, Ashwagandha, Shankhpushpi",Juice or tea after meals
Arthritis,"Severe headache, nausea","Triphala, Isabgol, Warm Water",Juice or decoction once daily
Eye Problems,"Anxiety, restlessness","Mulethi (Licorice), Honey, Ginger","Jamun seed powder with water, methi overnight water"
Back Pain,"Stress, sinus, tension","Ashoka, Lodhra, Aloe Vera",Juice or decoction once daily
Eye Problems,"Severe headache, nausea","Garlic, Arjuna, Amla",Decoction twice daily
Diabetes,"Bloating, gas, stomach ache, acidity","Jamun Seeds, Methi Seeds, Neem Leaves",Juice or decoction once daily
Migraine,"Severe headache, nausea","Garlic, Arjuna, Amla",Tulsi tea with ginger & honey twice daily
Indigestion,"High blood pressure, headache","Brahmi, Peppermint, Eucalyptus Oil","Amla juice daily, bhringraj oil scalp massage"
Hairfall,"Loose motion, dehydration","Garlic, Arjuna, Amla","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Hairfall,"Breathlessness, chest tightness","Ajwain, Ginger, Lemon","Amla juice daily, bhringraj oil scalp massage"
Cough,"Burning sensation, chest pain, bloating","Ginger Oil, Turmeric, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Indigestion,"High temperature, body pain, weakness","Neem, Turmeric, Aloe Vera",Triphala powder at night with warm water
Acidity,"High temperature, body pain, weakness","Triphala, Isabgol, Warm Water",Powder with warm water daily
Obesity,Dry or wet cough,"Ginger Oil, Turmeric, Eucalyptus Oil",Triphala powder at night with warm water
Asthma,"Hard stool, bloating","Garlic, Arjuna, Amla",Paste application and inhalation
Asthma,"Weak roots, dandruff, dryness","Mulethi (Licorice), Honey, Ginger",Herbal capsule or tea twice daily
Asthma,Dry or wet cough,"Tulsi, Ginger, Honey, Black Pepper",Mulethi powder with honey twice daily
Indigestion,"Weak roots, dandruff, dryness","Ajwain, Ginger, Lemon",Mulethi powder with honey twice daily
Constipation,"Blurred vision, eye strain","Jamun Seeds, Methi Seeds, Neem Leaves",Juice with honey twice daily
Skin Allergy,"Breathlessness, chest tightness","Neem, Turmeric, Aloe Vera",Juice or decoction once daily
Fever,"Weak roots, dandruff, dryness","Mulethi (Licorice), Honey, Ginger",Tulsi tea with ginger & honey twice daily
Hypertension,"Breathlessness, chest tightness","Triphala, Amla, Honey",Herbal capsule or tea twice daily
Acidity,"Breathlessness, chest tightness","Ashoka, Lodhra, Aloe Vera","Ajwain with warm water after meals, ginger tea"
Menstrual Problems,"Hard stool, bloating","Brahmi, Peppermint, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Asthma,"Bloating, gas, stomach ache, acidity","Peppermint, Ginger, Coriander",Paste application and inhalation
Asthma,"Joint pain, swelling","Ashoka, Lodhra, Aloe Vera","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Cough,Dry or wet cough,"Bael Fruit, Pomegranate, Ginger",Paste application and inhalation
Back Pain,"High temperature, body pain, weakness","Neem, Turmeric, Aloe Vera",Tulsi tea with ginger & honey twice daily
Diarrhea,"Irregular periods, cramps","Neem, Turmeric, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Constipation,"Itching, redness, inflammation","Guggul, Triphala, Honey",Mulethi powder with honey twice daily
Obesity,"Weak roots, dandruff, dryness","Neem, Turmeric, Aloe Vera","Fennel tea after meals, amla juice"
Diarrhea,"Lower back pain, stiffness","Mulethi (Licorice), Honey, Ginger","Ajwain with warm water after meals, ginger tea"
Obesity,"Stress, sinus, tension","Tulsi, Ginger, Honey, Black Pepper","Jamun seed powder with water, methi overnight water"
Menstrual Problems,"Stress, sinus, tension","Garlic, Arjuna, Amla",Mulethi powder with honey twice daily
Hairfall,"Severe headache, nausea","Neem, Turmeric, Aloe Vera",Mulethi powder with honey twice daily
Hypertension,"Irregular periods, cramps","Bael Fruit, Pomegranate, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Acidity,"Weak roots, dandruff, dryness","Peppermint, Ginger, Coriander",Mulethi powder with honey twice daily
Eye Problems,"Severe headache, nausea","Brahmi, Ashwagandha, Shankhpushpi",Giloy juice with water daily
Headache,"Blurred vision, eye strain","Garlic, Arjuna, Amla",Powder with warm water daily
Diabetes,"High temperature, body pain, weakness","Vasaka, Tulsi, Ginger",Giloy juice with water daily
Acidity,"Irregular periods, cramps","Ginger Oil, Turmeric, Eucalyptus Oil",Decoction twice daily
Skin Allergy,"Irregular periods, cramps","Mulethi (Licorice), Honey, Ginger",Mulethi powder with honey twice daily
Stress,"High temperature, body pain, weakness","Triphala, Isabgol, Warm Water",Herbal tea twice daily
Diabetes,"High blood pressure, headache","Neem, Turmeric, Aloe Vera",Decoction twice daily
Eye Problems,"Lower back pain, stiffness","Fennel Seeds, Amla, Mint",Herbal capsule or tea twice daily
Hairfall,"Blurred vision, eye strain","Tulsi, Ginger, Honey, Black Pepper",Triphala powder at night with warm water
Diarrhea,"Runny nose, sore throat, sneezing, cough","Amla, Bhringraj, Coconut Oil",Paste application and inhalation
Cough,"Overweight, fatigue","Guggul, Triphala, Honey",Decoction twice daily
Fever,"Hard stool, bloating","Garlic, Arjuna, Amla",Tulsi tea with ginger & honey twice daily
Skin Allergy,"Anxiety, restlessness","Triphala, Isabgol, Warm Water","Jamun seed powder with water, methi overnight water"
Skin Allergy,"Overweight, fatigue","Ashwagandha, Turmeric, Ginger",Juice or tea after meals
Asthma,"Joint pain, swelling","Brahmi, Ashwagandha, Shankhpushpi",Herbal capsule or tea twice daily
Hypertension,"Lower back pain, stiffness","Peppermint, Ginger, Coriander",Decoction twice daily
Constipation,"Weak roots, dandruff, dryness","Amla, Bhringraj, Coconut Oil","Amla juice daily, bhringraj oil scalp massage"
Hypertension,"Severe headache, nausea","Brahmi, Peppermint, Eucalyptus Oil",Mulethi powder with honey twice daily
Constipation,"Overweight, fatigue","Tulsi, Ginger, Honey, Black Pepper",Decoction twice daily
Menstrual Problems,"Itching, redness, inflammation","Brahmi, Ashwagandha, Shankhpushpi",Giloy juice with water daily
Headache,"Itching, redness, inflammation","Neem, Turmeric, Aloe Vera",Triphala powder at night with warm water
Obesity,"Loose motion, dehydration","Peppermint, Ginger, Coriander","Fennel tea after meals, amla juice"
Hairfall,"Weak roots, dandruff, dryness","Triphala, Isabgol, Warm Water",Juice or powder in warm water
Menstrual Problems,"Anxiety, restlessness","Triphala, Amla, Honey",Triphala powder at night with warm water
Back Pain,"High temperature, body pain, weakness","Garlic, Arjuna, Amla",Juice with honey twice daily
Diarrhea,"Bloating, gas, stomach ache, acidity","Ashwagandha, Turmeric, Ginger",Juice or decoction once daily
Obesity,"High temperature, body pain, weakness","Garlic, Arjuna, Amla",Paste application and inhalation
Cough,Dry or wet cough,"Giloy, Tulsi, Ginger",Oil massage and warm compress
Obesity,"Irregular periods, cramps","Jamun Seeds, Methi Seeds, Neem Leaves",Paste application and inhalation
Asthma,"Irregular periods, cramps","Ginger Oil, Turmeric, Eucalyptus Oil",Decoction twice daily
Obesity,"Joint pain, swelling","Triphala, Amla, Honey","Amla juice daily, bhringraj oil scalp massage"
Cough,Dry or wet cough,"Ashwagandha, Turmeric, Ginger",Herbal tea twice daily
Common Cold,Dry or wet cough,"Garlic, Arjuna, Amla",Herbal capsule or tea twice daily
Acidity,"Lower back pain, stiffness","Brahmi, Ashwagandha, Shankhpushpi","Jamun seed powder with water, methi overnight water"
Cough,"Stress, sinus, tension","Brahmi, Peppermint, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Common Cold,"Breathlessness, chest tightness","Ashoka, Lodhra, Aloe Vera",Mulethi powder with honey twice daily
Menstrual Problems,"High blood pressure, headache","Ashoka, Lodhra, Aloe Vera","Fennel tea after meals, amla juice"
Acidity,"Severe headache, nausea","Neem, Turmeric, Aloe Vera",Oil massage and warm compress
Arthritis,"Stress, sinus, tension","Ashoka, Lodhra, Aloe Vera",Juice or decoction once daily
Diarrhea,"Runny nose, sore throat, sneezing, cough","Jamun Seeds, Methi Seeds, Neem Leaves",Juice with honey twice daily
Acidity,"Breathlessness, chest tightness","Brahmi, Peppermint, Eucalyptus Oil",Juice or tea after meals
Fever,"Burning sensation, chest pain, bloating","Triphala, Amla, Honey","Jamun seed powder with water, methi overnight water"
Stress,"Loose motion, dehydration","Triphala, Isabgol, Warm Water",Herbal capsule or tea twice daily
Hairfall,Dry or wet cough,"Amla, Bhringraj, Coconut Oil","Neem paste on affected area, turmeric in warm milk"
Skin Allergy,"Hard stool, bloating","Triphala, Isabgol, Warm Water",Juice with honey twice daily
Skin Allergy,"Stress, sinus, tension","Brahmi, Ashwagandha, Shankhpushpi",Giloy juice with water daily
Diarrhea,"Anxiety, restlessness","Mulethi (Licorice), Honey, Ginger",Juice or decoction once daily
Migraine,"Loose motion, dehydration","Ginger Oil, Turmeric, Eucalyptus Oil",Juice or decoction once daily
Arthritis,"High blood pressure, headache","Brahmi, Ashwagandha, Shankhpushpi","Amla juice daily, bhringraj oil scalp massage"
Migraine,"Itching, redness, inflammation","Guggul, Triphala, Honey",Paste application and inhalation
Constipation,"Lower back pain, stiffness","Giloy, Tulsi, Ginger",Juice or tea after meals
Constipation,"Burning sensation, chest pain, bloating","Ashoka, Lodhra, Aloe Vera","Fennel tea after meals, amla juice"
Common Cold,"High blood sugar, frequent urination","Neem, Turmeric, Aloe Vera",Juice or decoction once daily
Headache,"Itching, redness, inflammation","Ajwain, Ginger, Lemon","Fennel tea after meals, amla juice"
Eye Problems,"High blood pressure, headache","Giloy, Tulsi, Ginger",Oil massage and warm compress
Constipation,"Overweight, fatigue","Peppermint, Ginger, Coriander",Juice or powder in warm water
Back Pain,"Stress, sinus, tension","Jamun Seeds, Methi Seeds, Neem Leaves",Juice with honey twice daily
Back Pain,"High blood pressure, headache","Neem, Turmeric, Aloe Vera",Herbal tea twice daily
Back Pain,"Blurred vision, eye strain","Brahmi, Ashwagandha, Shankhpushpi",Giloy juice with water daily
Indigestion,"Severe headache, nausea","Triphala, Amla, Honey",Paste application and inhalation
Diabetes,"Bloating, gas, stomach ache, acidity","Brahmi, Peppermint, Eucalyptus Oil",Tulsi tea with ginger & honey twice daily
Diarrhea,"High blood sugar, frequent urination","Bael Fruit, Pomegranate, Ginger",Triphala powder at night with warm water
Common Cold,"Loose motion, dehydration","Bael Fruit, Pomegranate, Ginger",Tulsi tea with ginger & honey twice daily
Skin Allergy,"Blurred vision, eye strain","Ginger Oil, Turmeric, Eucalyptus Oil",Powder with warm water daily
Cough,"Stress, sinus, tension","Ginger Oil, Turmeric, Eucalyptus Oil",Giloy juice with water daily
Constipation,"Overweight, fatigue","Peppermint, Ginger, Coriander",Tulsi tea with ginger & honey twice daily
Constipation,"Bloating, gas, stomach ache, acidity","Ginger Oil, Turmeric, Eucalyptus Oil",Juice with honey twice daily
Headache,"Hard stool, bloating","Brahmi, Peppermint, Eucalyptus Oil",Decoction twice daily
Acidity,"Blurred vision, eye strain","Guggul, Triphala, Honey","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Arthritis,"Severe headache, nausea","Peppermint, Ginger, Coriander","Neem paste on affected area, turmeric in warm milk"
Eye Problems,"High blood sugar, frequent urination","Triphala, Isabgol, Warm Water",Powder with warm water daily
Common Cold,"Itching, redness, inflammation","Vasaka, Tulsi, Ginger",Giloy juice with water daily
Common Cold,"Irregular periods, cramps","Tulsi, Ginger, Honey, Black Pepper",Juice or tea after meals
Eye Problems,"Anxiety, restlessness","Jamun Seeds, Methi Seeds, Neem Leaves",Tulsi tea with ginger & honey twice daily
Arthritis,"Bloating, gas, stomach ache, acidity","Guggul, Triphala, Honey","Fennel tea after meals, amla juice"
Cough,"Irregular periods, cramps","Triphala, Isabgol, Warm Water","Jamun seed powder with water, methi overnight water"
Headache,"High temperature, body pain, weakness","Tulsi, Ginger, Honey, Black Pepper",Triphala powder at night with warm water
Constipation,"Bloating, gas, stomach ache, acidity","Triphala, Isabgol, Warm Water","Fennel tea after meals, amla juice"
Asthma,"High temperature, body pain, weakness","Garlic, Arjuna, Amla","Fennel tea after meals, amla juice"
Menstrual Problems,"Bloating, gas, stomach ache, acidity","Brahmi, Ashwagandha, Shankhpushpi","Fennel tea after meals, amla juice"
Eye Problems,"Breathlessness, chest tightness","Tulsi, Ginger, Honey, Black Pepper",Juice or tea after meals
Stress,"Hard stool, bloating","Triphala, Amla, Honey",Oil massage and warm compress
Obesity,"Anxiety, restlessness","Neem, Turmeric, Aloe Vera",Oil massage and warm compress
Fever,"High blood sugar, frequent urination","Triphala, Isabgol, Warm Water","Jamun seed powder with water, methi overnight water"
Diabetes,"Runny nose, sore throat, sneezing, cough","Triphala, Amla, Honey",Giloy juice with water daily
Common Cold,"Overweight, fatigue","Tulsi, Ginger, Honey, Black Pepper",Triphala powder at night with warm water
Back Pain,"Stress, sinus, tension","Mulethi (Licorice), Honey, Ginger",Juice or decoction once daily
Hairfall,"Loose motion, dehydration","Peppermint, Ginger, Coriander","Fennel tea after meals, amla juice"
Back Pain,"Anxiety, restlessness","Ginger Oil, Turmeric, Eucalyptus Oil",Juice or decoction once daily
Hypertension,"High blood pressure, headache","Ajwain, Ginger, Lemon",Mulethi powder with honey twice daily
Cough,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera","Ajwain with warm water after meals, ginger tea"
Hairfall,"Blurred vision, eye strain","Tulsi, Ginger, Honey, Black Pepper",Juice or powder in warm water
Hypertension,"Blurred vision, eye strain","Ashwagandha, Turmeric, Ginger",Mulethi powder with honey twice daily
Migraine,Dry or wet cough,"Ginger Oil, Turmeric, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Hairfall,Dry or wet cough,"Vasaka, Tulsi, Ginger",Herbal capsule or tea twice daily
Menstrual Problems,"Bloating, gas, stomach ache, acidity","Garlic, Arjuna, Amla",Mulethi powder with honey twice daily
Arthritis,"Burning sensation, chest pain, bloating","Brahmi, Ashwagandha, Shankhpushpi","Ajwain with warm water after meals, ginger tea"
Cough,"Irregular periods, cramps","Tulsi, Ginger, Honey, Black Pepper",Herbal tea twice daily
Stress,"Hard stool, bloating","Ginger Oil, Turmeric, Eucalyptus Oil",Juice with honey twice daily
Back Pain,"Severe headache, nausea","Ginger Oil, Turmeric, Eucalyptus Oil",Juice or decoction once daily
Eye Problems,"Loose motion, dehydration","Brahmi, Ashwagandha, Shankhpushpi",Mulethi powder with honey twice daily
Fever,"Loose motion, dehydration","Tulsi, Ginger, Honey, Black Pepper",Juice or powder in warm water
Hairfall,"Burning sensation, chest pain, bloating","Ashwagandha, Turmeric, Ginger",Paste application and inhalation
Hairfall,"Lower back pain, stiffness","Brahmi, Ashwagandha, Shankhpushpi",Triphala powder at night with warm water
Asthma,"Loose motion, dehydration","Triphala, Isabgol, Warm Water",Juice or tea after meals
Arthritis,"Joint pain, swelling","Ajwain, Ginger, Lemon",Triphala powder at night with warm water
Cough,"Stress, sinus, tension","Mulethi (Licorice), Honey, Ginger","Neem paste on affected area, turmeric in warm milk"
Obesity,"High blood pressure, headache","Brahmi, Peppermint, Eucalyptus Oil",Herbal tea twice daily
Cough,"Weak roots, dandruff, dryness","Triphala, Amla, Honey",Paste application and inhalation
Arthritis,"Bloating, gas, stomach ache, acidity","Fennel Seeds, Amla, Mint",Oil massage and warm compress
Stress,"Anxiety, restlessness","Garlic, Arjuna, Amla",Herbal capsule or tea twice daily
Diabetes,"High blood sugar, frequent urination","Triphala, Amla, Honey",Juice or decoction once daily
Diarrhea,"High temperature, body pain, weakness","Bael Fruit, Pomegranate, Ginger",Juice with honey twice daily
Hairfall,"Breathlessness, chest tightness","Brahmi, Ashwagandha, Shankhpushpi",Triphala powder at night with warm water
Back Pain,"Joint pain, swelling","Ashoka, Lodhra, Aloe Vera",Herbal capsule or tea twice daily
Obesity,"Burning sensation, chest pain, bloating","Brahmi, Ashwagandha, Shankhpushpi","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Hairfall,"Overweight, fatigue","Amla, Bhringraj, Coconut Oil",Herbal tea twice daily
Menstrual Problems,"Hard stool, bloating","Ashoka, Lodhra, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Diarrhea,"Weak roots, dandruff, dryness","Tulsi, Ginger, Honey, Black Pepper","Ajwain with warm water after meals, ginger tea"
Asthma,"Joint pain, swelling","Brahmi, Peppermint, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Common Cold,"High blood pressure, headache","Brahmi, Peppermint, Eucalyptus Oil",Decoction twice daily
Hypertension,"Lower back pain, stiffness","Guggul, Triphala, Honey",Juice with honey twice daily
Constipation,"Lower back pain, stiffness","Tulsi, Ginger, Honey, Black Pepper",Herbal capsule or tea twice daily
Obesity,"Runny nose, sore throat, sneezing, cough","Ashoka, Lodhra, Aloe Vera",Oil massage and warm compress
Eye Problems,"Hard stool, bloating","Neem, Turmeric, Aloe Vera",Herbal tea twice daily
Skin Allergy,"Lower back pain, stiffness","Peppermint, Ginger, Coriander",Paste application and inhalation
Back Pain,"Breathlessness, chest tightness","Ashoka, Lodhra, Aloe Vera",Paste application and inhalation
Back Pain,"High temperature, body pain, weakness","Brahmi, Peppermint, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Migraine,"Hard stool, bloating","Ajwain, Ginger, Lemon",Powder with warm water daily
Headache,"Weak roots, dandruff, dryness","Ashwagandha, Turmeric, Ginger",Decoction twice daily
Skin Allergy,"Hard stool, bloating","Tulsi, Ginger, Honey, Black Pepper",Juice or tea after meals
Acidity,"Blurred vision, eye strain","Ashwagandha, Turmeric, Ginger","Fennel tea after meals, amla juice"
Common Cold,"Loose motion, dehydration","Peppermint, Ginger, Coriander","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Hypertension,"Runny nose, sore throat, sneezing, cough","Brahmi, Peppermint, Eucalyptus Oil",Triphala powder at night with warm water
Constipation,"Bloating, gas, stomach ache, acidity","Tulsi, Ginger, Honey, Black Pepper",Decoction twice daily
Migraine,Dry or wet cough,"Brahmi, Peppermint, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Hypertension,"Blurred vision, eye strain","Ashoka, Lodhra, Aloe Vera",Triphala powder at night with warm water
Arthritis,"Anxiety, restlessness","Jamun Seeds, Methi Seeds, Neem Leaves",Paste application and inhalation
Diabetes,"Burning sensation, chest pain, bloating","Fennel Seeds, Amla, Mint","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Common Cold,"Severe headache, nausea","Mulethi (Licorice), Honey, Ginger",Paste application and inhalation
Indigestion,"Itching, redness, inflammation","Tulsi, Ginger, Honey, Black Pepper","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Menstrual Problems,"High temperature, body pain, weakness","Brahmi, Peppermint, Eucalyptus Oil",Paste application and inhalation
Diabetes,"Runny nose, sore throat, sneezing, cough","Vasaka, Tulsi, Ginger",Herbal capsule or tea twice daily
Diabetes,"Runny nose, sore throat, sneezing, cough","Bael Fruit, Pomegranate, Ginger","Ajwain with warm water after meals, ginger tea"
Diabetes,"Joint pain, swelling","Amla, Bhringraj, Coconut Oil",Juice or powder in warm water
Indigestion,"Irregular periods, cramps","Fennel Seeds, Amla, Mint","Amla juice daily, bhringraj oil scalp massage"
Indigestion,Dry or wet cough,"Neem, Turmeric, Aloe Vera","Jamun seed powder with water, methi overnight water"
Arthritis,"High blood pressure, headache","Bael Fruit, Pomegranate, Ginger","Fennel tea after meals, amla juice"
Diabetes,"Hard stool, bloating","Amla, Bhringraj, Coconut Oil",Oil massage and warm compress
Constipation,"Overweight, fatigue","Triphala, Isabgol, Warm Water","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Fever,"Anxiety, restlessness","Garlic, Arjuna, Amla",Mulethi powder with honey twice daily
Diabetes,"Weak roots, dandruff, dryness","Triphala, Isabgol, Warm Water",Herbal capsule or tea twice daily
Common Cold,"Lower back pain, stiffness","Triphala, Isabgol, Warm Water",Tulsi tea with ginger & honey twice daily
Constipation,"Runny nose, sore throat, sneezing, cough","Bael Fruit, Pomegranate, Ginger",Juice or tea after meals
Stress,"Burning sensation, chest pain, bloating","Ginger Oil, Turmeric, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Diarrhea,"Anxiety, restlessness","Brahmi, Peppermint, Eucalyptus Oil",Mulethi powder with honey twice daily
Diabetes,"Severe headache, nausea","Fennel Seeds, Amla, Mint",Mulethi powder with honey twice daily
Common Cold,"Hard stool, bloating","Fennel Seeds, Amla, Mint",Juice or powder in warm water
